title,url,summary,last_updated,next_step,project
Code lint and cleanup,local://local_9f5e8be7-d032-4fa1-bf69-f5f163820381,Cleaning up HANDOFF.md and LOG.md after artist enrichment work; documenting the Met pilot workflow in WORKFLOW.md and enrich.md.,2026-06-18,Start the next enrichment pass or LOD verification sweep for remaining artists.,md-tools
File date prepend script,local://local_29c45a66-572d-4147-a643-5f4fc9fcb2bc,Creating a shell script and Automator Quick Action to prepend file creation dates to filenames in Finder.,2026-06-18,Set up the Automator Quick Action using the delivered script.,md-tools
Book extraction workflow,local://local_bd58df74-6d09-4d2c-b61e-84159e360345,"Completed extraction of Tyler's book: 50 exercises written (tyler-001–050) across 10 chapters; catalogue updated to 272 exercises / 10 books / 87 artists. Alex Kanevsky artist file created; seven further Tyler artists noted for next session.",2026-06-18,"Verify remaining Tyler artists (Sickert prioritised); continue LOD sweep for unverified artist files.",md-tools
Exercise extraction next steps,local://local_63b2d784-233e-4114-92f5-178e8bc8c1e6,"Wrote and verified artist pages for Warhol, Oldenburg, and Lichtenstein — all LOD-checked and added to lod-lookup.yaml.",2026-06-18,Continue artist page backfill for other exercise exemplars.,md-tools
Project skill design discussion,local://local_d24e0b4e-8f3c-4199-953f-dd20c73e9ad9,"Designed and wrote four teaching skill prompts: situation.md, adapt.md, diagnose.md, and SKILL.md — including a baked-in diagnostic taxonomy for common student drawing problems.",2026-06-18,Test the diagnose prompt against more student drawings to check whether the symptom taxonomy needs expanding.,md-tools
md-design-system CSS build,local://local_a6fde83e-08e2-4dbe-9540-1dd51231922b,"Fixed six design system themes whose background colours were incorrectly set to white; corrected text-subtle and accent contrast ratios to meet WCAG AA. Build is clean across all 14 themes.",2026-06-17,Review the six corrected themes in the style guide to confirm they feel right.,md-tools
MD design system briefing,local://local_38d5e2c1-76fb-4265-ab5d-ad58756b92ea,"Created a ready-to-paste handoff prompt for the next session, pointing at step 5 (main.css) with pointers to token-inventory.md and the prototype.",2026-06-17,Pick up at step 5: build main.css from the token inventory.,md-tools
Design system theme tester,local://local_a351ea48-6722-4971-80d4-c6dbe9f09cf9,"Built a theme tester for the md-design-system; fixed ROM font fallbacks (heading font corrected to regular-weight grotesque, not Arial Black).",2026-06-17,Test remaining themes in the browser; check condensed font fallback renders acceptably.,md-tools
Kaupelis extraction next steps,local://local_67c759a7-fc7d-47c0-b150-275bf783357c,"Extracted Kaupelis Life Drawing Chapter 2: 9 new exercises (woods-013–021) covering perspective, centre lines, triangles, monumental planes, counterpoise. Catalogue now 222 exercises.",2026-06-16,"Chapters 6 (Marks: Methods and Media) and 8 (Altered Images) remain — scope with Kim before tackling either.",md-tools
Kaupelis chapter extraction,local://local_132838d8-2c2d-4977-a0b3-1a56a624940a,"Read and summarised Kaupelis Chapter 9 (closing essay, no exercises) — covers Rauschenberg, Pollock/Benton, Fromm quotation, and the argument for productive rejection of teachers.",2026-06-16,No extraction needed; move on to bibliography check or next book.,md-tools
Kaupelis chapter 7 extraction,local://local_aa8faeb6-4a7f-48a5-b4b7-f9bdc60f12be,"Extracted 8 exercises from Kaupelis Chapter 7; verified 12 artist files via Wikidata/ULAN; fixed over-quota copyright passages. Totals now 202 exercises / 9 books / 76 artists.",2026-06-16,Chapters 8–9 remain (or confirm Ch9 is essay-only and skip).,md-tools
Drawing biennial image ingest,local://local_ad9e6990-68a0-481c-8228-1b3ffcb0b6ca,"Converted all 314 markdown files for Drawing Biennial 2026 to add YAML frontmatter (title, artist, year, Eagle folder/item) plus image embeds and structured sections.",2026-06-15,Check a sample of converted files in Obsidian; add Eagle links for any missing items.,md-tools
Claude Chrome access question,local://local_c6438b57-809e-45c7-8a8e-20f02138be5e,Brief session investigating bash/Chrome tool access within Cowork.,2026-06-15,No action outstanding.,md-tools
Drawing Room biennial downloads,local://local_f090dd0a-54e5-4fa2-9f09-f1ae6dc81f1f,"Attempted to download Drawing Room biennial images via Chrome MCP; blocked by Cowork network policy. Documented the domains that need allowing.",2026-06-15,"Add biennial.drawingroom.org.uk and drawingcdn.azureedge.net to Admin → Capabilities → Network access, then retry.",md-tools
Artist pages Eagle Links,local://local_67803832-0c2b-44a4-b4e1-1be22f714e7b,"Fleshed out the Luca Cambiaso artist page with biography, teaching notes, references, and Eagle link; added themes/subjects/media to frontmatter.",2026-06-15,Verify specific museum holdings for Cambiaso if citing individual works later.,md-tools
Artist database pages,local://local_6fbdaed4-fd1b-4100-897c-609bea36b972,"Created the final two artist pages (Holder and Godoy) to complete the ~76-name list; both added to lod-lookup.yaml. Noted a duplicate van-eeden-marcel.md for manual deletion.",2026-06-15,Delete the duplicate van-eeden-marcel.md file; run a verification pass on unverified entries.,md-tools
Kaupelis extraction (Ch6),local://local_db10e23e-0532-4fbf-8617-56a41f32b0da,"Extracted Kaupelis Chapter 6: 5 new exercises (kaupelis-034–038); 9 new artist entries; fixed three copyright over-quota passages. Totals 194 exercises / 9 books / 64 artists.",2026-06-14,Chapter 7 next.,md-tools
Kaupelis extraction (Ch5),local://local_5f38307b-76e1-4c4f-8b3e-552c37202e09,"Extracted Kaupelis Chapter 5 (Photographs, Grids, and Projected Images): 6 exercises, 6 artist files verified. Fixed a pre-existing catalogue count mismatch (totals now 189 exercises / 9 books / 55 artists).",2026-06-14,Chapters 6–9 remain.,md-tools
Kaupelis extraction or bulk convert,local://local_3743cee1-05ca-461d-af0c-38e742a9c251,"Housekeeping: archived old HANDOFF.md 'Completed' entries (sessions 9–17) into LOG.md. No new extraction.",2026-06-13,Resume Kaupelis extraction from Chapter 6.,md-tools
Handoff next tasks,local://local_32ef6f0b-3114-4707-b6ed-fea52259302c,"Extracted Kaupelis Chapter 4 first batch (kaupelis-014–019); 3 artist files. Also ran bulk EPUB/HTML/PDF conversion (22 of 58 files done). Catalogue now 175 exercises / 9 books / 43 artists.",2026-06-13,"Continue Kaupelis Chapter 4 (Clouds, Water, Picasso/Waldman sections); resume large-PDF conversion locally.",md-tools
Book extraction workflow setup,local://local_29ac9304-8d48-4d98-b4cc-435ab3548510,"Resolved a git index.lock issue blocking commits in dt-knowledge-base (sandboxed delete not permitted — user must run rm command manually).",2026-06-13,Run the rm command on Mac to clear the lock file; then commit.,md-tools
Next book extraction planning,local://local_1276ff77-a8ab-405d-bea6-c316e8320899,"Completed Emily Ball extraction: 14 exercises, 2 artist files. Fixed a naming inconsistency (emily-ball → ball-emily throughout). Catalogue 156 exercises / 8 books / 34 artists.",2026-06-12,Re-check Emily Ball's Wikidata/ULAN identifiers (none found this session).,md-tools
Linking pass review,local://local_366296de-f592-4be3-9953-aa7f6046077b,"Completed the pilot phase (6 books, 142 exercises / 7 books / 32 artists). Wrote a ready-to-paste prompt for the next session to choose the next book from the not-started list.",2026-06-12,Choose the next book and begin extraction — see HANDOFF.md for candidate prompt.,md-tools
Exercise descriptions draft,local://local_a54acc86-c991-4a42-99c2-e752a8d76406,"Drafted one-sentence description fields for exercises; fixed paragraph line-break convention across 133 files; documented the rule in SCHEMA.md. Advised starting a fresh chat for the linking pass.",2026-06-12,Begin the linking pass in a fresh session using skill/prompts/link.md.,md-tools
Drawing knowledge base work,local://local_a0214c07-7f2f-4e93-90d8-be90eb00b055,"Completed ILOs and 9-section template for all 142 exercises (tasks 1–5 done). Confirmed two lint items already fixed; only §1 (10 superseded files) awaits Kim's go-ahead.",2026-06-11,Approve or reject the 10 superseded files flagged in the lint review.,md-tools
Mattesi Chapter 3 extraction,local://local_40f1f797-27b7-4bab-b79b-7fa55b0b761d,"Updated HANDOFF, LOG, SCHEMA, and WORKFLOW after Mattesi Chapter 3 completion; added Bases and Index.md to folder layout documentation.",2026-06-11,Verify Bases views render correctly in Obsidian; optionally add an artists Bases view.,md-tools
Mattesi FORCE Chapter 2 extraction,local://local_081a265d-dc89-4898-bee2-91d3678d405d,"Extracted Mattesi FORCE Chapter 2 (mattesi-015–022). Catalogue 135 exercises / 7 artists. Wrote handoff prompt for Chapter 3. Noted a catalogue.yaml duplicate nicolaides issue for Kim's review.",2026-06-11,Extract Mattesi Chapter 3 ('FORCEFUL Shape'); check with Kim about the nicolaides duplicate before touching it.,md-tools
Mattesi FORCE extraction Chapter 1,local://local_502a6e01-aa90-4009-acc8-8472325496d5,"Extracted Mattesi FORCE Chapter 1 (mattesi-001–014); wrote source file and catalogue entries. Updated EXTRACTION-LOG.md. Wrote handoff prompt for Chapter 2.",2026-06-10,Extract Chapter 2 using the handoff prompt.,md-tools
Work status check,local://local_cf0366d4-bb02-42c9-8176-22eddfc9c8db,"Status check session; wrote a detailed prompt for the next Claude to extract Mattesi Chapter 1 only and pause for review.",2026-06-10,Paste the provided prompt into a fresh session to start Mattesi Chapter 1.,md-tools
Markdown design system calendar,local://local_12dbe1c0-fd09-4323-b6c9-f90c7acf81e8,"Built HTML demo pages for the MD design system: a calendar page and a full article page (PAGE 11) with all prose components exercised in Kim's voice.",2026-06-09,Review both demo pages in browser; continue adding further page types to the style guide.,md-tools
